rank,first_block,first_ts_utc,symbol,name,address,deployer,launchpad_or_factory,total_supply_whole,holders,n_transfers,last_transfer_utc,active_30d,pool_address,pool_weth_usd,fdv_usd,deployer_pct_supply,verified_on_blockscout,obscurity,evidence,notes
1,58539,2026-06-15 15:00:10Z,MARIAN,Lady Marian,0x01637b14b7378b99de75a64d50656d98488d9a4d,0x937933e11ad6307ae0d8b8115986e91734be2d5c,,1000000000,3270,60417,2026-07-13 01:43:14Z,0,0xd7f9cc3aea9dbff04261d8dd36eddf6522bf7aec,120.05,"959,280.78",0.2324,unknown,listed,"direct deployment by EOA 0x937933e11ad6307ae0d8b8115986e91734be2d5c (first-mint tx has to=null); no factory, no infra-linked deployer","fdv_usd=959,280.78 pool_weth_usd=120.05 | blockscout: holders=5444 mcap_usd=991986.61 price_usd=0.00099188 vol24h=230087.52 coingecko_listed=yes"
2,61208,2026-06-16 12:59:07Z,.,.,0x61a425ab7e1f6b3fa1eb6af6162cf471fa0e7c62,0xce54513ab9c2fbc8a2f9034bab6170572e2eef47,,100000000,1,1,2026-06-16 12:59:07Z,0,,,,100.0000,unknown,unknown,"direct deployment by EOA 0xce54513ab9c2fbc8a2f9034bab6170572e2eef47 (first-mint tx has to=null); no factory, no infra-linked deployer",no priceable venue
3,61385,2026-06-16 13:27:20Z,TEST,TEST,0x1c50f4ef1dfe368e56be0dd714ccbfdfe5b50000,0xce54513ab9c2fbc8a2f9034bab6170572e2eef47,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,33,3128,2026-08-28 16:07:27Z,1,0x1c50f4ef1dfe368e56be0dd714ccbfdfe5b50000,"5,899.60","7,488.64",0.3921,unknown,indexed only,"deployed by EOA 0xce54513ab9c2fbc8a2f9034bab6170572e2eef47 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=7,488.64 pool_weth_usd=5,899.60 | blockscout: holders=32 no price, no aggregator listing"
4,61394,2026-06-16 13:28:43Z,TNOXA,Testing NOXA Fun ;),0xdd4cb9fc35388c756f2948b7388ac3aeb0fa77cb,0x7e035fb048a31e0481b88074557415b1c187242b,0x0742d64925e4c78cb1baffce2fa1dceba8cf133c,1000000000,165,11132,2026-08-29 14:54:11Z,1,,,,0.0006,unknown,indexed only,deployed via contract 0x0742d64925e4c78cb1baffce2fa1dceba8cf133c by 0x7e035fb048a31e0481b88074557415b1c187242b; that contract is not a known infra factory,"no priceable venue | blockscout: holders=165 no price, no aggregator listing"
5,61472,2026-06-16 13:39:25Z,.,.,0xc5d6974951201fb5f20c0efb4b6bef5cf8ff1617,0xce54513ab9c2fbc8a2f9034bab6170572e2eef47,,100000000,1,1,2026-06-16 13:39:25Z,0,,,,100.0000,unknown,unknown,"direct deployment by EOA 0xce54513ab9c2fbc8a2f9034bab6170572e2eef47 (first-mint tx has to=null); no factory, no infra-linked deployer",no priceable venue
6,61483,2026-06-16 13:41:26Z,.,.,0x97aa99c0afdd156ba3558b10687e378566132af5,0xce54513ab9c2fbc8a2f9034bab6170572e2eef47,,100000000,1,1,2026-06-16 13:41:26Z,0,,,,100.0000,unknown,unknown,"direct deployment by EOA 0xce54513ab9c2fbc8a2f9034bab6170572e2eef47 (first-mint tx has to=null); no factory, no infra-linked deployer",no priceable venue
7,61559,2026-06-16 13:46:36Z,TUCK,Friar Tuck,0xacc7e3b4332eb447e4f441c40a6ea68a214e0000,0x106022b035132e731ffb19651471e399b71b093d,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,24,1603,2026-08-26 23:36:34Z,1,0xacc7e3b4332eb447e4f441c40a6ea68a214e0000,"4,950.72","5,273.45",0.0000,unknown,indexed only,"deployed by EOA 0x106022b035132e731ffb19651471e399b71b093d through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=5,273.45 pool_weth_usd=4,950.72 | blockscout: holders=24 no price, no aggregator listing"
8,61561,2026-06-16 13:46:40Z,ROBINHOODDOG,ROBIN HOOD DOG,0xca60bd2440625f2844718c1176214a697d910000,0x30b0a6c97cf015495e022219ba0f9a3787c90177,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,11,411,2026-08-23 16:32:31Z,1,0xca60bd2440625f2844718c1176214a697d910000,"4,590.81","4,534.57",0.0000,unknown,indexed only,"deployed by EOA 0x30b0a6c97cf015495e022219ba0f9a3787c90177 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,534.57 pool_weth_usd=4,590.81 | blockscout: holders=11 no price, no aggregator listing"
9,61636,2026-06-16 13:50:06Z,Robin Hood,Robin Hood,0x90fd1111f40dbfc1145ecd9178b1271fc93f0000,0x703373818388f14ec5e4e58b90cf5d4003943c3c,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,7,217,2026-08-26 14:39:30Z,1,0x90fd1111f40dbfc1145ecd9178b1271fc93f0000,"4,442.01","4,245.38",0.0000,unknown,indexed only,"deployed by EOA 0x703373818388f14ec5e4e58b90cf5d4003943c3c through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,245.38 pool_weth_usd=4,442.01 | blockscout: holders=7 no price, no aggregator listing"
10,61747,2026-06-16 13:57:46Z,$ROBIN,Robin the Hood dog,0x89a8b0d217e4ac973945b0c93552a2b291170000,0x8859f95d95cbd6e0f9c6e1e6b570b1aa4e5ccdf4,0x5818fddddb96bcd50bee4253f11b324e7dea961b,1000000000,1,36,2026-08-21 12:25:42Z,1,0x89a8b0d217e4ac973945b0c93552a2b291170000,"4,331.54","4,036.85",0.0000,unknown,indexed only,"deployed by EOA 0x8859f95d95cbd6e0f9c6e1e6b570b1aa4e5ccdf4 through public launchpad-A (0x5818..., UniV2-fork factory, owner 0xce54513a...)","fdv_usd=4,036.85 pool_weth_usd=4,331.54 | blockscout: holders=1 no price, no aggregator listing"
